,customer_id,first_name,last_name,username,email,gender,birthdate,device_type,device_id,device_version,home_location_lat,home_location_long,home_location,home_country,first_join_date
0,22594,Dina,Usada,6e79b29d-5224-4d61-b68b-36a2d2e81de8,6e79b29d_5224_4d61_b68b_36a2d2e81de8@startupcampus.id,F,1991-05-28,Android,60c70795-0f65-48d5-898a-0cac6aa37888,Android 7.1.2,0.540770392532437,123.01699130007748,Gorontalo,Indonesia,2022-06-11
1,47463,Jarwa,Napitupulu,78fc9d20-0204-413a-bb0b-e81f1a8b8f30,78fc9d20_0204_413a_bb0b_e81f1a8b8f30@startupcampus.id,M,1992-10-31,Android,e36e7b86-52f5-4217-971c-5845e8d11082,Android 1.5,0.7803349233354346,103.46459882603286,Kepulauan Riau,Indonesia,2018-10-21
2,61747,Catur,Maheswara,4e9c8d5c-5cff-40f2-85a3-39bc63a7cd8d,4e9c8d5c_5cff_40f2_85a3_39bc63a7cd8d@zakyfoundation.org,M,1994-05-12,Android,b59c2e94-0148-4203-83f2-074d5de00667,Android 8.1.0,0.957222982193862,112.36202926344636,Kalimantan Barat,Indonesia,2021-05-15
3,10841,Kartika,Andriani,7b3a4694-4cce-435d-a93f-17bc6bfc0c42,7b3a4694_4cce_435d_a93f_17bc6bfc0c42@startupcampus.id,F,1993-03-11,Android,fbcaff7d-bca2-4ffe-8856-5aaca9ee9ec0,Android 2.3.3,0.7010764194027157,121.89050423225764,Gorontalo,Indonesia,2022-04-17
4,23472,Kambali,Adriansyah,20ce03a1-e1f6-4926-8879-bf7825bf9850,20ce03a1_e1f6_4926_8879_bf7825bf9850@zakyfoundation.org,M,1992-10-19,Android,bb9e15d7-f23d-44cd-ba93-7b7adc0a4dc9,Android 2.3.7,-6.228461656896034,106.86621434791743,Jakarta Raya,Indonesia,2021-01-17
5,90555,Eka,Lailasari,cbd9a68f-3662-48be-874f-4690f1090b42,cbd9a68f_3662_48be_874f_4690f1090b42@zakyfoundation.org,F,1991-07-03,Android,c2fb7a7c-914f-45b7-9606-94da1873ad5c,Android 3.2.3,-2.104693019379921,114.1036979415089,Kalimantan Tengah,Indonesia,2021-10-23
6,97202,Tiara,Hasanah,d892ab75-6aac-4706-9931-1e095dfa0d2f,d892ab75_6aac_4706_9931_1e095dfa0d2f@startupcampus.id,F,1985-01-28,Android,e458f989-3cfc-443c-a2d7-bd843af44738,Android 4.4.2,-8.013389111698086,114.32055106935135,Jawa Timur,Indonesia,2022-03-12
7,12563,Lega,Gunawan,f4875ee4-fe6a-48a5-99fd-c6b0c9425f37,f4875ee4_fe6a_48a5_99fd_c6b0c9425f37@zakyfoundation.org,M,1991-07-23,iOS,6fe92f47-f291-4923-86e7-827ee843bd45,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,-6.153161112560923,106.92145414753544,Jakarta Raya,Indonesia,2019-05-11
8,16700,Anggabaya,Mustofa,0c6f9558-a4e6-46b8-8a86-f1f114032916,0c6f9558_a4e6_46b8_8a86_f1f114032916@zakyfoundation.org,M,1992-07-16,Android,b88608e3-3edc-4fa5-b03c-496244fdf9ba,Android 8.0.0,-9.7080592702471,123.82494276934364,Nusa Tenggara Timur,Indonesia,2018-11-13
9,54145,Nilam,Rahmawati,ae7dd8a8-90a5-4818-9579-b24e2f9fcf45,ae7dd8a8_90a5_4818_9579_b24e2f9fcf45@startupcampus.id,F,1993-07-06,Android,5d68e4a0-9fa3-4c7c-9e7b-30e0fec91762,Android 3.2.3,-6.238372547588928,106.8612931558637,Jakarta Raya,Indonesia,2018-07-07
10,23867,Mustofa,Napitupulu,99d9163a-1b88-49d8-893c-f612590e6d61,99d9163a_1b88_49d8_893c_f612590e6d61@startupcampus.id,M,1998-03-25,iOS,5d201990-9017-4c61-8c64-0875505a0fe7,iPad; CPU iPad OS 12_4_8 like Mac OS X,-7.7460600387035345,110.20044791359884,Yogyakarta,Indonesia,2020-01-17
11,53145,Adhiarja,Hakim,77ca7ff5-1d8d-4a34-8905-da6bd8756182,77ca7ff5_1d8d_4a34_8905_da6bd8756182@zakyfoundation.org,M,2005-06-05,Android,efa11e61-a925-463f-9dcc-6758ce90c2bd,Android 11,1.9642405097334468,116.29695837812902,Kalimantan Timur,Indonesia,2022-06-18
12,8698,Johan,Simbolon,e04b169e-a2a8-46ab-a2e4-7527bc08babf,e04b169e_a2a8_46ab_a2e4_7527bc08babf@zakyfoundation.org,M,1988-05-28,Android,aea96c3c-8d85-45ad-b372-e7dcfccbb940,Android 3.0,-7.309518299318686,110.64447732301298,Jawa Tengah,Indonesia,2018-06-14
13,87666,Ulva,Yolanda,0bae10a8-55db-4893-a97a-5cd32beb0c82,0bae10a8_55db_4893_a97a_5cd32beb0c82@startupcampus.id,F,1997-01-27,Android,d0ecd703-f072-4821-a028-a9db10681cfd,Android 1.0,-7.219930333875409,107.8905180837074,Jawa Barat,Indonesia,2022-05-01
14,65194,Eka,Nurdiyanti,1fd633cf-b7d3-4a29-940e-e534b07e9af0,1fd633cf_b7d3_4a29_940e_e534b07e9af0@startupcampus.id,F,1998-02-17,iOS,122230c1-c0ec-4f69-b80d-22b1e8aa32d8,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,-6.678600382628286,108.2336664478255,Jawa Barat,Indonesia,2018-10-28
15,87095,Agus,Winarno,61f49b6d-326f-4e4f-8dbf-af6cc22a465a,61f49b6d_326f_4e4f_8dbf_af6cc22a465a@startupcampus.id,M,1998-04-10,Android,eea7e6b8-d662-4f0c-9da1-ce7c2e8069e9,Android 4.2.1,-6.890252749348767,107.89543160479036,Jawa Barat,Indonesia,2020-09-26
